Reduced run: 15000 consumers, 600 merchants, 520 scenarios (13 families x 40)
=== Generating Stage 5 training dataset ===
Checking if baseline Stage 2 exists and matches settings at /home/sharkyi/Desktop/Chakravyuh/data/generated/stage5/baseline/stage2...
Using existing Stage 2 baseline.
Adaptive attack config derived from prior model: {'adaptive_volume_splitting': True, 'beneficiary_age_floor_s': 50578560, 'adaptive_sleeper': True}
Layering attack: scam_induced_push (seed=101000, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111007, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111008, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111009, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111010, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111011, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111012, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111013, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111014, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111015, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111016, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111017, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111018, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111019, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111020, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111021, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111022, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111023, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111024, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111025, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111026, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111027, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111028, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111029, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111030, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111031, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111032, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111033, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111034, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111035, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111036, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111037, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111038, intensity=MEDIUM)...
Layering attack: subthreshold_fragmentation (seed=111039, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112000, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112001, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112002, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112003, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112004, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112005, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112006, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112007, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112008, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112009, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112010, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112011, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112012, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112013, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112014, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112015, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112016, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112017, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112018, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112019, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112020, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112021, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112022, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112023, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112024, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112025, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112026, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112027, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112028, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112029, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112030, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112031, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112032, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112033, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112034, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112035, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112036, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112037, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112038, intensity=MEDIUM)...
Layering attack: agentic_injection (seed=112039, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113000, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113001, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113002, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113003, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113004, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113005, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113006, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113007, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113008, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113009, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113010, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113011, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113012, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113013, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113014, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113015, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113016, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113017, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113018, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113019, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113020, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113021, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113022, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113023, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113024, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113025, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113026, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113027, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113028, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113029, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113030, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113031, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113032, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113033, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113034, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113035, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113036, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113037, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113038, intensity=MEDIUM)...
Layering attack: insider_abuse (seed=113039, intensity=MEDIUM)...
Total transactions after layering: 514750
Total labels after layering: 514750
Fraud prevalence: 3213/514750 (0.62%) -- lookalike: 3213/514750 (0.62%). Check this against stage5/config/settings.py's reasoning comment; adjust ATTACK_EXPANSION_FACTOR or STAGE5_N_CONSUMERS if it drifts far from ~1-5%.
Building final graph edges on the combined dataset...
Writing combined tables...
=== Stage 5 training dataset generation complete! ===
